tweet_id,airline_sentiment,text,airline
570301031407624196,negative,"@VirginAmerica it's really aggressive to blast obnoxious ""entertainment"" in your guests' faces &amp; they have little recourse",Virgin America
570300817074462722,negative,@VirginAmerica and it's a really big bad thing about it,Virgin America
570300767074181121,negative,"@VirginAmerica seriously would pay $30 a flight for seats that didn't have this playing.
it's really the only bad thing about flying VA",Virgin America
570300248553349120,neutral,"@VirginAmerica Really missed a prime opportunity for Men Without Hats parody, there. https://t.co/mWpG7grEZP",Virgin America
570295459631263746,positive,"@VirginAmerica it was amazing, and arrived an hour early. You're too good to me.",Virgin America
570294189143031808,neutral,@VirginAmerica did you know that suicide is the second leading cause of death among teens 10-24,Virgin America
570289724453216256,positive,@VirginAmerica I &lt;3 pretty graphics. so much better than minimal iconography. :D,Virgin America
570289584061480960,positive,@VirginAmerica This is such a great deal! Already thinking about my 2nd trip to @Australia &amp; I haven't even gone on my 1st trip yet! ;p,Virgin America
570277724385734656,positive,@VirginAmerica So excited for my first cross country flight LAX to MCO I've heard nothing but great things about Virgin America. #29DaysToGo,Virgin America
570267956648792064,positive,@VirginAmerica you know what would be amazingly awesome? BOS-FLL PLEASE!!!!!!! I want to fly with only you.,Virgin America
570264145116819457,positive,@VirginAmerica I love this graphic. http://t.co/UT5GrRwAaA,Virgin America
570259420287868928,positive,@VirginAmerica I love the hipster innovation. You are a feel good brand.,Virgin America
570258822297579520,neutral,@VirginAmerica will you be making BOS&gt;LAS non stop permanently anytime soon?,Virgin America
570256553502068736,negative,@VirginAmerica you guys messed up my seating.. I reserved seating with my friends and you guys gave my seat away ... 😡 I want free internet,Virgin America
570249102404923392,negative,@VirginAmerica status match program.  I applied and it's been three weeks.  Called and emailed with no response.,Virgin America
570217831557677057,neutral,@VirginAmerica do you miss me? Don't worry we'll be together very soon.,Virgin America
570207886493782019,negative,@VirginAmerica amazing to me that we can't get any cold air from the vents. #VX358 #noair #worstflightever #roasted #SFOtoBOS,Virgin America
570124596180955136,neutral,@VirginAmerica LAX to EWR - Middle seat on a red eye. Such a noob maneuver. #sendambien #andchexmix,Virgin America
570114021854212096,negative,"@VirginAmerica hi! I just bked a cool birthday trip with you, but i can't add my elevate no. cause i entered my middle name during Flight Booking Problems 😢",Virgin America
570088404156698625,negative,"@VirginAmerica help, left expensive headphones on flight 89 IAD to LAX today. Seat 2A. No one answering L&amp;F number at LAX!",Virgin America
570076792993611776,positive,@VirginAmerica this is great news!  America could start flights to Hawaii by end of year http://t.co/r8p2Zy3fe4 via @Pacificbiznews,Virgin America
570051991277342720,neutral,Nice RT @VirginAmerica: Vibe with the moodlight from takeoff to touchdown. #MoodlitMonday #ScienceBehindTheExperience http://t.co/Y7O0uNxTQP,Virgin America
